rank,pmid,title,year,score,genes,drugs,summary
1,39511891,AAVrh.10 delivery of novel APOE2-Christchurch variant suppresses amyloid and Tau pathology in Alzheimer's disease mice.,2024,9,APOE; APP; PSEN1; MAPT,,"AAVrh.10-mediated delivery of the APOE2-Christchurch variant (E2Ch) showed superior suppression of amyloid and tau pathology in Alzheimer's disease mouse models compared to unmodified APOE2, reducing Aβ accumulation, tau tangles, and glial activation."
2,41448139,The evolving landscape of Alzheimer's disease therapy: From Aβ to tau.,2025,7,APP; MAPT,,"The paper discusses advancements in Alzheimer's disease therapy, highlighting progress in tau-targeting approaches and anti-Aβ treatments, while outlining challenges and future directions including combination therapies."
3,38945936,Anti-amyloid-β Antibodies and Anti-tau Therapies for Alzheimer's Disease: Recent Advances and Perspectives.,2024,7,,aducanumab; lecanemab; donanemab,"Recent advances in anti-amyloid-β therapies include FDA approvals of aducanumab and lecanemab, with donanemab meeting phase 3 endpoints. Tau-targeting therapies show limited clinical benefits but demonstrate functional improvements in trials."
4,22784036,Clinical and biomarker changes in dominantly inherited Alzheimer's disease.,2012,6,APP; PSEN1; PSEN2,,"This study investigates the sequence and magnitude of pathophysiological changes in dominantly inherited Alzheimer's disease through longitudinal analysis of clinical, cognitive, imaging, and biomarker data from 128 participants, correlating findings with estimated years from expected symptom onset."
5,26250687,"NEURODEGENERATION. Alzheimer's and Parkinson's diseases: The prion concept in relation to assembled Aβ, tau, and α-synuclein.",2015,6,APP; MAPT; SNCA,,"Alzheimer's and Parkinson's diseases are characterized by the pathological assembly of Aβ, tau, and α-synuclein, with mutations in their respective genes contributing to disease progression."
6,33302541,Comprehensive Review on Alzheimer's Disease: Causes and Treatment.,2020,4,,Donepezil; Memantine,"Alzheimer's disease is a multifactorial neurodegenerative disorder with no cure, primarily managed using cholinesterase inhibitors and NMDA antagonists. Current research focuses on mechanisms like tau pathology, amyloid-beta, and inflammation."
7,28465241,N-glycan and Alzheimer's disease.,2017,4,APP; MAPT,,"The study reviews the role of N-glycans in Alzheimer's disease pathogenesis, focusing on their impact on key proteins like APP and tau, and highlights the need for further glycobiology research to understand disease mechanisms."
8,32027932,APOE-amyloid interaction: Therapeutic targets.,2020,2,APOE,,"APOE is a major genetic risk factor for late-onset Alzheimer's disease, with its interaction with amyloid β (Aβ) influencing plaque formation and pathology. The review highlights therapeutic approaches targeting the APOE-Aβ interaction."
9,39044488,Amyloid and Tau Prediction of Cognitive and Functional Decline in Unimpaired Older Individuals: Longitudinal Data from the A4 and LEARN Studies.,2024,1,,,"The A4 and LEARN studies evaluated amyloid PET, tau PET, and plasma P-tau217 as predictors of cognitive and functional decline in cognitively unimpaired older individuals, comparing their effectiveness in forecasting longitudinal outcomes."
10,37078495,Equivalence of plasma p-tau217 with cerebrospinal fluid in the diagnosis of Alzheimer's disease.,2023,1,,,"Plasma p-tau217 demonstrates diagnostic performance equivalent to cerebrospinal fluid (CSF) for amyloid-PET positivity in Alzheimer's disease, while other plasma p-tau biomarkers (p-tau181, p-tau231) show lower accuracy compared to their CSF counterparts."
